model,setting,fold,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
GraphSAGE,structure_plus_spectral,4,0.3416666666666667,0.3141535955337776,0.3141535955337776,0.36924470457079156,0.3416666666666666
GraphSAGE,structure_plus_spectral,5,0.25833333333333336,0.22528688925104842,0.2252868892510484,0.2151668697435288,0.25833333333333336
GCN,wl_roles,1,0.26666666666666666,0.25736550531159,0.25736550531159,0.2649915308003543,0.26666666666666666
GCN,wl_roles,2,0.26666666666666666,0.2636836229621061,0.2636836229621061,0.2778737669088546,0.26666666666666666
GCN,wl_roles,3,0.225,0.21215735484028167,0.21215735484028167,0.21056808688387632,0.225
GCN,wl_roles,4,0.23333333333333334,0.23532653472762366,0.23532653472762366,0.2554755892255892,0.2333333333333333
GCN,wl_roles,5,0.24166666666666667,0.22758530831687515,0.22758530831687515,0.2616248693834901,0.24166666666666667
GIN,wl_roles,1,0.26666666666666666,0.2529553516073819,0.25295535160738186,0.2574737141233305,0.26666666666666666
GIN,wl_roles,2,0.275,0.2621074811316039,0.2621074811316039,0.2857403926482874,0.275
GIN,wl_roles,3,0.16666666666666666,0.17721122358005262,0.17721122358005262,0.21976338405366538,0.16666666666666666
GIN,wl_roles,4,0.23333333333333334,0.2201057137497815,0.22010571374978155,0.24731763334704507,0.23333333333333336
GIN,wl_roles,5,0.23333333333333334,0.22295780037050908,0.22295780037050908,0.2421560846560847,0.2333333333333333
GraphSAGE,wl_roles,1,0.2,0.19242174329893627,0.19242174329893624,0.2392972860078123,0.20000000000000004
GraphSAGE,wl_roles,2,0.18333333333333332,0.15601731601731603,0.15601731601731603,0.1843413896045475,0.18333333333333335
GraphSAGE,wl_roles,3,0.24166666666666667,0.19368052064130495,0.19368052064130495,0.20540503557744938,0.24166666666666667
GraphSAGE,wl_roles,4,0.16666666666666666,0.14817927170868347,0.14817927170868345,0.142090570719603,0.16666666666666666
GraphSAGE,wl_roles,5,0.275,0.2614225943840548,0.2614225943840548,0.2994838859970439,0.27499999999999997
