model,initialization,hidden_dim,dropout,lr,layers,accuracy,macro_f1,weighted_f1,epochs_run
GCN,structure_plus_spectral,64,0.3,0.0005,3,0.25,0.24890178303322733,0.24890178303322735,50
GCN,centrality_bundle,32,0.3,0.001,4,0.25833333333333336,0.2458070551005115,0.2458070551005115,50
GCN,structure_plus_spectral,32,0.5,0.001,2,0.25,0.24550023228486326,0.2455002322848632,50
GCN,structure_plus_spectral,64,0.3,0.0005,4,0.25,0.24430359435173302,0.24430359435173302,50
GCN,original,32,0.5,0.0005,4,0.2833333333333333,0.23805871924151498,0.23805871924151495,50
GCN,structure_plus_spectral,32,0.3,0.001,3,0.25,0.23598375784422296,0.23598375784422296,50
GCN,centrality_bundle,32,0.5,0.0005,3,0.275,0.23019524048935813,0.23019524048935816,50
GCN,structure_plus_spectral,64,0.5,0.0005,3,0.23333333333333334,0.2286426471574239,0.2286426471574239,50
GCN,centrality_bundle,32,0.5,0.001,3,0.25833333333333336,0.22830122330318717,0.22830122330318717,48
GCN,original,32,0.5,0.001,3,0.25,0.22777816628620698,0.227778166286207,50
GCN,original,32,0.5,0.0005,3,0.25,0.22575601207676677,0.2257560120767668,50
GCN,structure_plus_spectral,64,0.5,0.0005,2,0.24166666666666667,0.22507394770216668,0.22507394770216665,46
GCN,original,32,0.3,0.0005,3,0.25,0.22486500427676895,0.22486500427676895,50
GCN,centrality_bundle,32,0.3,0.0005,4,0.26666666666666666,0.22335128872044463,0.22335128872044463,50
GCN,structure_plus_spectral,32,0.5,0.0005,3,0.23333333333333334,0.2199562821079849,0.2199562821079849,50
GCN,structure_plus_spectral,64,0.5,0.0005,4,0.225,0.21782497312826907,0.21782497312826904,50
GCN,original,32,0.3,0.0005,2,0.25833333333333336,0.21775335775335777,0.21775335775335775,50
GCN,original,64,0.3,0.0005,2,0.24166666666666667,0.2166300800252207,0.2166300800252207,50
GCN,centrality_bundle,32,0.3,0.0005,3,0.26666666666666666,0.21615791615791613,0.21615791615791616,41
GCN,structure_plus_spectral,32,0.5,0.0005,2,0.21666666666666667,0.21486737363930344,0.21486737363930347,50
GCN,original,32,0.3,0.001,2,0.23333333333333334,0.21443885446502345,0.21443885446502348,50
GCN,original,32,0.5,0.001,2,0.23333333333333334,0.21172397596375228,0.21172397596375225,50
GCN,original,64,0.5,0.0005,2,0.24166666666666667,0.21145467836257312,0.21145467836257312,50
GCN,centrality_bundle,64,0.3,0.0005,2,0.25833333333333336,0.21060519515843876,0.21060519515843873,35
GCN,centrality_bundle,32,0.3,0.001,3,0.275,0.20899458364395251,0.20899458364395251,40
GCN,structure_plus_spectral,64,0.5,0.001,2,0.23333333333333334,0.20741057148465888,0.20741057148465888,40
GCN,structure_plus_spectral,32,0.3,0.0005,3,0.20833333333333334,0.20416769319208347,0.2041676931920834,39
GCN,centrality_bundle,32,0.5,0.001,4,0.25,0.1993839351750258,0.1993839351750258,50
GCN,original,64,0.5,0.001,2,0.225,0.19758426704590604,0.19758426704590606,50
GCN,structure_plus_spectral,32,0.3,0.0005,2,0.2,0.1972737666816614,0.1972737666816614,50
GCN,structure_plus_spectral,64,0.5,0.001,4,0.2,0.1962934816667987,0.1962934816667987,50
GCN,original,32,0.5,0.0005,2,0.20833333333333334,0.19179140471553738,0.19179140471553738,50
GCN,original,64,0.3,0.0005,3,0.2,0.19079764961183446,0.19079764961183446,45
GCN,degree_clustering,32,0.5,0.0005,4,0.19166666666666668,0.18989789334616922,0.18989789334616922,40
GCN,structure_plus_spectral,32,0.5,0.001,4,0.2,0.18954761610490198,0.18954761610490198,50
GCN,degree_clustering,64,0.3,0.001,4,0.19166666666666668,0.1888946652316771,0.1888946652316771,50
GCN,structure_plus_spectral,32,0.3,0.001,4,0.2,0.18488021885667805,0.18488021885667802,50
GCN,centrality_bundle,32,0.5,0.0005,4,0.25,0.17856746351508637,0.1785674635150864,50
GCN,structure_plus_spectral,32,0.3,0.0005,4,0.18333333333333332,0.17474092474092473,0.17474092474092473,50
GCN,degree_clustering,64,0.3,0.0005,4,0.175,0.17336357818073053,0.17336357818073056,50
GCN,structure_plus_spectral,32,0.5,0.001,3,0.175,0.17306077320612204,0.17306077320612204,50
GCN,degree_clustering,64,0.5,0.001,4,0.18333333333333332,0.1709615063900146,0.17096150639001456,50
GCN,degree_clustering,32,0.5,0.001,3,0.175,0.170891399226247,0.17089139922624702,50
GCN,degree_clustering,64,0.5,0.001,2,0.175,0.17032909068211818,0.17032909068211816,50
GCN,degree_clustering,64,0.3,0.001,3,0.16666666666666666,0.1683011561620457,0.1683011561620457,45
GCN,centrality_bundle,32,0.5,0.0005,2,0.18333333333333332,0.16429884043497164,0.16429884043497164,40
GCN,degree_clustering,32,0.3,0.001,3,0.16666666666666666,0.16400181252556092,0.16400181252556092,50
GCN,degree_clustering,64,0.5,0.0005,4,0.15833333333333333,0.15441516176810294,0.15441516176810297,50
GCN,degree_clustering,32,0.5,0.0005,2,0.18333333333333332,0.1529628841104251,0.15296288411042508,41
GCN,degree_clustering,32,0.3,0.001,4,0.15833333333333333,0.15236568307575996,0.15236568307575998,50
GCN,degree_clustering,64,0.3,0.0005,3,0.15833333333333333,0.15043878565617697,0.15043878565617694,50
GCN,centrality_bundle,32,0.3,0.001,2,0.175,0.149372237534415,0.14937223753441498,35
GCN,centrality_bundle,32,0.3,0.0005,2,0.15,0.14854590736417947,0.14854590736417944,35
GCN,centrality_bundle,32,0.5,0.001,2,0.16666666666666666,0.1478884767488168,0.14788847674881683,35
GCN,structure_plus_spectral,32,0.5,0.0005,4,0.18333333333333332,0.14731176231176232,0.1473117623117623,44
GCN,degree_clustering,64,0.3,0.001,2,0.15833333333333333,0.14445929887106357,0.1444592988710636,50
GCN,degree_clustering,32,0.5,0.001,4,0.15833333333333333,0.13713384761416378,0.13713384761416378,37
